week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2023-02-19,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4052.35009765625,4052.35009765625,3943.080078125,3970.0400390625,16031550000,-109.050048828125
2023-02-26,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3992.360107421875,4048.2900390625,3928.159912109375,4045.639892578125,21459460000,75.599853515625
2023-03-05,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4055.14990234375,4078.489990234375,3846.320068359375,3861.590087890625,21422390000,-184.0498046875
2023-03-12,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3835.1201171875,3964.4599609375,3808.860107421875,3916.639892578125,33867970000,55.0498046875
2023-03-19,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3917.469970703125,4039.489990234375,3909.159912109375,3970.989990234375,24375960000,54.35009765625
2023-03-26,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3982.929931640625,4110.75,3951.530029296875,4109.31005859375,20849370000,138.320068359375
2023-04-02,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4102.2001953125,4133.1298828125,4069.840087890625,4105.02001953125,15917210000,-4.2900390625
2023-04-09,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4085.199951171875,4163.18994140625,4072.550048828125,4137.64013671875,17894880000,32.6201171875
2023-04-16,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4137.169921875,4169.47998046875,4113.85986328125,4133.52001953125,18104210000,-4.1201171875
2023-04-23,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4132.06982421875,4170.06005859375,4049.35009765625,4169.47998046875,18944960000,35.9599609375
2023-04-30,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4166.7900390625,4186.919921875,4048.280029296875,4136.25,21160370000,-33.22998046875
2023-05-07,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4136.97998046875,4154.27978515625,4098.919921875,4124.080078125,18795580000,-12.169921875
2023-05-14,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4126.64990234375,4212.91015625,4109.85986328125,4191.97998046875,19277850000,67.89990234375
2023-05-21,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4190.77978515625,4212.8701171875,4103.97998046875,4205.4501953125,19486220000,13.47021484375
2023-05-28,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4226.7099609375,4290.669921875,4166.14990234375,4282.3701171875,19055240000,76.919921875
2023-06-04,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4282.990234375,4322.6201171875,4261.06982421875,4298.85986328125,19960900000,16.48974609375
2023-06-11,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4308.31982421875,4448.47021484375,4304.3701171875,4409.58984375,23498470000,110.72998046875
2023-06-18,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4396.10986328125,4400.14990234375,4341.33984375,4348.330078125,17329740000,-61.259765625
2023-06-25,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4344.83984375,4458.47998046875,4328.080078125,4450.3798828125,18347970000,102.0498046875
2023-07-02,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4450.47998046875,4456.4599609375,4385.0498046875,4398.9501953125,12829400000,-51.4296875
2023-07-09,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4394.22998046875,4527.759765625,4389.919921875,4505.419921875,18461090000,106.4697265625
2023-07-16,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4508.85986328125,4578.43017578125,4504.89990234375,4536.33984375,19075880000,30.919921875
2023-07-23,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4543.39013671875,4607.06982421875,4528.56005859375,4582.22998046875,20193230000,45.89013671875
2023-07-30,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4584.81982421875,4594.22021484375,4474.5498046875,4478.02978515625,21109110000,-104.2001953125
2023-08-06,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4491.580078125,4527.3701171875,4443.97998046875,4464.0498046875,19439590000,-13.97998046875
2023-08-13,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4458.1298828125,4490.330078125,4335.31005859375,4369.7099609375,19366670000,-94.33984375
2023-08-20,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4380.27978515625,4458.2998046875,4356.2900390625,4405.7099609375,18106530000,36.0
2023-08-27,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4426.02978515625,4541.25,4414.97998046875,4515.77001953125,16568780000,110.06005859375
2023-09-03,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4510.06005859375,4514.2900390625,4430.4599609375,4457.490234375,13968150000,-58.27978515625
2023-09-10,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4480.97998046875,4511.990234375,4447.2099609375,4450.31982421875,20916040000,-7.17041015625
2023-09-17,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4445.1298828125,4466.35986328125,4316.490234375,4320.06005859375,17096470000,-130.259765625
2023-09-24,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4310.6201171875,4338.509765625,4238.6298828125,4288.0498046875,18256060000,-32.01025390625
2023-10-01,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4284.52001953125,4324.10009765625,4216.4501953125,4308.5,19153590000,20.4501953125
2023-10-08,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4289.02001953125,4385.85009765625,4283.7900390625,4327.77978515625,17576230000,19.27978515625
2023-10-15,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4342.3701171875,4393.56982421875,4223.02978515625,4224.16015625,18864600000,-103.61962890625
2023-10-22,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4210.39990234375,4259.3798828125,4103.77978515625,4117.3701171875,19764430000,-106.7900390625
2023-10-29,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4139.39013671875,4373.6201171875,4132.93994140625,4358.33984375,21626250000,240.9697265625
2023-11-05,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4364.27001953125,4418.02978515625,4343.93994140625,4415.240234375,18742940000,56.900390625
2023-11-12,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4406.66015625,4521.169921875,4393.81982421875,4514.02001953125,20115520000,98.77978515625
2023-11-19,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4511.7001953125,4568.43017578125,4510.35986328125,4559.33984375,11838180000,45.31982421875
2023-11-26,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4554.85986328125,4599.39013671875,4537.240234375,4594.6298828125,21205410000,35.2900390625
2023-12-03,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4564.3701171875,4609.22998046875,4546.5,4604.3701171875,20051430000,9.740234375
2023-12-10,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4593.39013671875,4738.56982421875,4593.39013671875,4719.18994140625,27228260000,114.81982421875
2023-12-17,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4725.580078125,4778.009765625,4697.81982421875,4754.6298828125,18766580000,35.43994140625
2023-12-24,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4758.85986328125,4793.2998046875,4751.990234375,4769.830078125,11087280000,15.2001953125
