,Open,High,Low,Close,Volume,week,Close_change
233,34206.66015625,34206.66015625,33646.48828125,33727.4296875,1313900000,2023-06-18,-571.69140625
234,33730.7890625,34467.3515625,33610.3203125,34407.6015625,1457590000,2023-06-25,680.171875
235,34369.78125,34465.6015625,33716.75,33734.87890625,998730000,2023-07-02,-672.72265625
236,33705.6796875,34592.26171875,33705.6796875,34509.03125,1470270000,2023-07-09,774.15234375
237,34499.73828125,35372.76953125,34418.71875,35227.69140625,1917000000,2023-07-16,718.66015625
238,35230.7890625,35645.3515625,35216.578125,35459.2890625,1651460000,2023-07-23,231.59765625
239,35465.96875,35679.12890625,35033.76171875,35065.62109375,1478720000,2023-07-30,-393.66796875
240,35125.6015625,35578.578125,35007.41015625,35281.3984375,1525620000,2023-08-06,215.77734375
241,35273.890625,35335.44921875,34263.19140625,34500.66015625,1670010000,2023-08-13,-780.73828125
242,34531.28125,34694.6796875,34029.21875,34346.8984375,1636260000,2023-08-20,-153.76171875
243,34441.640625,35070.2109375,34441.640625,34837.7109375,1351530000,2023-08-27,490.8125
244,34843.21875,34871.26171875,34291.55859375,34576.58984375,1273410000,2023-09-03,-261.12109375
245,34650.01171875,34977.96875,34509.94921875,34618.23828125,1793210000,2023-09-10,41.6484375
246,34612.2890625,34776.28125,33947.23828125,33963.83984375,1427870000,2023-09-17,-654.3984375
247,33907.58984375,34017.53125,33306.30078125,33507.5,1405320000,2023-09-24,-456.33984375
248,33455.5,33557.69140625,32846.94140625,33407.578125,1466350000,2023-10-01,-99.921875
249,33259.83984375,33957.71875,33253.69140625,33670.2890625,1336460000,2023-10-08,262.7109375
250,33832.421875,34147.62890625,33118.12109375,33127.28125,1466330000,2023-10-15,-543.0078125
251,32993.01953125,33272.19140625,32327.19921875,32417.58984375,1814270000,2023-10-22,-709.69140625
252,32537.5390625,34163.62890625,32537.5390625,34061.3203125,1528510000,2023-10-29,1643.73046875
253,34092.609375,34310.359375,33859.76953125,34283.1015625,1455550000,2023-11-05,221.78125
254,34259.25,35051.1015625,34205.80859375,34947.28125,1691290000,2023-11-12,664.1796875
255,34932.48828125,35399.44140625,34907.98046875,35390.1484375,956500000,2023-11-19,442.8671875
256,35376.44140625,36264.8515625,35280.5703125,36245.5,1571260000,2023-11-26,855.3515625
257,36089.37890625,36296.19921875,36010.8515625,36247.87109375,1504400000,2023-12-03,2.37109375
258,36254.328125,37347.6015625,36231.19140625,37305.16015625,2234030000,2023-12-10,1057.2890625
259,37330.140625,37641.30078125,37073.0390625,37385.96875,1374400000,2023-12-17,80.80859375
260,37405.8984375,37778.8515625,37371.828125,37689.5390625,892070000,2023-12-24,303.5703125
